Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	41026	-	0	0	0	0	0	0	17	92	0	0	0	0	0	0	0	0	0	0	0	166	289	0	0	0	5	0	2
fsh-generated/resources/ActorDefinition-actor-consumer.json	199	6	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-actor-producer.json	199	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4162	5	0	7	0	0	0	0	0	76	0	0	1	0	0	0	0	1	0	0	0	74	836	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1791	3	0	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	66	205	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2776	2	0	11	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	57	182	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirectiveObligations.json	5207	4	0	9	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	81	263	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5460	3	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	64	166	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSAlertObligations.json	3842	3	0	6	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	66	168	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9397	4	0	9	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	122	176	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntoleranceObligations.json	5864	4	0	8	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	101	234	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3662	2	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	55	123	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3243	2	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	51	115	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructureLaboratoryObligations.json	5570	3	0	6	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	73	168	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4996	3	0	6	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	90	154	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8488	4	0	9	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	92	182	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSConditionLaboratoryObligations.json	5924	4	0	7	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	68	208	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSConditionObligations.json	5028	3	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	65	215	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3798	2	0	6	0	0	0	0	0	10	0	0	1	0	0	0	0	1	0	0	0	48	125	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancyObligations.json	4118	2	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	51	158	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4786	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	52	154	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6148	3	1	6	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	59	142	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceLaboratoryObligations.json	8369	4	0	7	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	75	213	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceObligations.json	3819	3	0	6	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	49	155	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	4501	2	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	62	141	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUseObligations.json	3928	3	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	54	166	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	30119	10	0	71	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	254	356	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSDischargeReportObligations.json	77832	24	0	52	0	0	0	0	0	101	0	0	0	0	0	0	0	1	0	0	0	482	1036	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9420	6	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	101	171	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	10840	4	0	4	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	142	170	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDosageObligations.json	6267	4	0	9	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	77	173	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	10959	5	0	8	1	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	126	183	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6273	3	0	7	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	57	108	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6239	2	0	4	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	0	50	99	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessionalLaboratoryObligations.json	6166	3	0	7	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	55	125	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessionalObligations.json	6459	2	0	13	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	72	165	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3152	2	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	34	123	0	0	0	0	1	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	25302	8	0	21	0	0	0	0	0	43	0	0	0	0	0	0	0	1	0	0	0	230	298	0	1	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReportObligations.json	45571	15	0	33	0	0	0	0	0	109	0	0	0	0	0	0	0	1	0	0	0	362	547	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	18939	7	0	10	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	153	150	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudyObligations.json	33806	11	0	21	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	275	293	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	5809	3	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	56	82	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunisationLaboratoryObligations.json	5768	2	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	54	104	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunisationObligations.json	6442	3	0	15	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	96	154	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	4781	3	0	25	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	100	188	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservationObligations.json	81972	23	0	41	0	0	0	0	0	67	0	0	1	0	0	0	0	0	0	0	0	503	676	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	16216	6	0	13	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	0	171	159	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportObligations.json	41224	13	0	22	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	299	299	0	0	0	7	1	1
fsh-generated/resources/StructureDefinition-EHDSLocation.json	3930	3	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	45	64	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	17496	5	0	7	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	0	160	159	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4275	3	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	59	80	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministrationLaboratoryObligations.json	8477	3	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	79	111	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministrationObligations.json	3984	2	0	5	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	50	88	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	8197	3	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	83	90	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispenseObligations.json	8843	3	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	79	115	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationLaboratoryObligations.json	9248	4	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	97	140	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationObligations.json	5186	2	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	76	122	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	17523	6	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	168	130	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescriptionObligations.json	18991	5	0	10	0	0	1	0	0	19	0	0	1	0	0	0	0	1	0	0	0	146	202	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationUse.json	5900	3	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	70	87	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationUseLaboratoryObligations.json	7390	2	0	6	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	68	104	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationUseObligations.json	4579	2	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	60	94	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSObservation.json	28948	8	0	1	0	0	0	0	0	36	0	0	0	0	0	0	0	1	0	0	0	287	199	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSObservationObligations.json	50144	13	0	25	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	324	388	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-EHDSOrganisation.json	3234	2	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	38	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganisationLaboratoryObligations.json	6769	2	0	5	0	0	0	0	0	59	0	0	0	0	0	0	0	1	0	0	0	51	84	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganisationObligations.json	2300	2	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	31	73	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	4153	2	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	44	69	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientLaboratoryObligations.json	6123	2	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	47	88	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientObligations.json	4987	2	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	58	95	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	32586	10	0	20	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	0	289	256	0	0	0	7	0	1
